name,iso_a3,currency_code,local_price,dollar_ex,date
Venezuela,VEN,VEF,6800.0,4125.278,2007/1/1
Argentina,ARG,ARS,8.25,3.0915,2007/6/1
Australia,AUS,AUD,3.45,1.17,2007/6/1
Brazil,BRA,BRL,6.9,1.913,2007/6/1
Britain,GBR,GBP,1.99,0.49661063200000005,2007/6/1
Canada,CAN,CAD,3.88,1.05345,2007/6/1
Chile,CHL,CLP,1565.0,526.75,2007/6/1
China,CHN,CNY,11.0,7.6047,2007/6/1
Colombia,COL,COP,6900.0,1956.0,2007/6/1
Costa Rica,CRI,CRC,1130.0,518.625,2007/6/1
Czech Republic,CZE,CZK,52.9,21.11675,2007/6/1
Denmark,DNK,DKK,27.75,5.4603,2007/6/1
Egypt,EGY,EGP,9.54,5.69025,2007/6/1
Euro area,EUZ,EUR,3.057482443,0.7337564659999999,2007/6/1
Hong Kong,HKG,HKD,12.0,7.81555,2007/6/1
Hungary,HUN,HUF,600.0,180.2106,2007/6/1
Indonesia,IDN,IDR,15900.0,9015.0,2007/6/1
Japan,JPN,JPY,280.0,122.315,2007/6/1
Malaysia,MYS,MYR,5.5,3.4345,2007/6/1
Mexico,MEX,MXN,29.0,10.76755,2007/6/1
New Zealand,NZL,NZD,4.6,1.2797,2007/6/1
Norway,NOR,NOK,40.0,5.8139,2007/6/1
Pakistan,PAK,PKR,140.0,60.37,2007/6/1
Peru,PER,PEN,9.5,3.167,2007/6/1
Philippines,PHL,PHP,85.0,45.8975,2007/6/1
Poland,POL,PLN,6.9,2.75185,2007/6/1
Russia,RUS,RUB,52.0,25.64825,2007/6/1
Saudi Arabia,SAU,SAR,9.0,3.75045,2007/6/1
Singapore,SGP,SGD,3.95,1.52375,2007/6/1
Sri Lanka,LKA,LKR,210.0,111.4,2007/6/1
Sweden,SWE,SEK,33.0,6.79165,2007/6/1
Switzerland,CHE,CHF,6.3,1.2112,2007/6/1
Taiwan,TWN,TWD,75.0,32.7705,2007/6/1
Thailand,THA,THB,62.0,34.455,2007/6/1
Turkey,TUR,TRY,4.75,1.2981,2007/6/1
UAE,ARE,AED,10.0,3.67285,2007/6/1
Ukraine,UKR,UAH,9.25,5.0275,2007/6/1
United States,USA,USD,3.41,1.0,2007/6/1
Uruguay,URY,UYU,62.0,23.945,2007/6/1
Venezuela,VEN,VEF,7400.0,2147.3,2007/6/1
Argentina,ARG,ARS,11.0,3.0195,2008/6/1
Australia,AUS,AUD,3.45,1.026,2008/6/1
Brazil,BRA,BRL,7.5,1.5846,2008/6/1
Britain,GBR,GBP,2.29,0.5010396570000001,2008/6/1
Canada,CAN,CAD,4.09,1.00355,2008/6/1
Chile,CHL,CLP,1550.0,494.65,2008/6/1
China,CHN,CNY,12.5,6.834,2008/6/1
Colombia,COL,COP,7000.0,1798.65,2008/6/1
Costa Rica,CRI,CRC,1800.0,551.02,2008/6/1
Czech Republic,CZE,CZK,66.08,14.49795,2008/6/1
Denmark,DNK,DKK,28.0,4.7044,2008/6/1
Egypt,EGY,EGP,13.0,5.3125,2008/6/1
Euro area,EUZ,EUR,3.36856,0.630497147,2008/6/1
Hong Kong,HKG,HKD,13.3,7.7974,2008/6/1
Hungary,HUN,HUF,670.0,144.2578,2008/6/1
Indonesia,IDN,IDR,18700.0,9152.0,2008/6/1
Japan,JPN,JPY,280.0,106.855,2008/6/1
Malaysia,MYS,MYR,5.5,3.238,2008/6/1
Mexico,MEX,MXN,32.0,10.1685,2008/6/1
New Zealand,NZL,NZD,4.9,1.3177,2008/6/1
Norway,NOR,NOK,40.0,5.07915,2008/6/1
Pakistan,PAK,PKR,140.0,70.9,2008/6/1
Poland,POL,PLN,7.0,2.03145,2008/6/1
Russia,RUS,RUB,59.0,23.2336,2008/6/1
Saudi Arabia,SAU,SAR,10.0,3.74955,2008/6/1
Singapore,SGP,SGD,3.95,1.35275,2008/6/1
South Africa,ZAF,ZAR,16.95,7.56325,2008/6/1
South Korea,KOR,KRW,3200.0,1018.05,2008/6/1
